Postcode,Year,ftft,ftpt,ftaw,ftun,ftnotlf,ftunstated,ptpt,ptaw,ptun,ptnotlf,ptunstated,awaw,awun,awnotlf,awunstated,unun,unnotlf,ununstated,notlfnotlf,notlfunstated,unstatedunstated,ft,pt,aw,un,notlf,unstated
"2063, NSW",2011,156,258,20,22,204,14,22,9,4,30,15,13,0,5,6,0,3,0,15,19,3,41,36,3,3,27,0
"2064, NSW",2011,217,255,39,21,247,21,34,7,11,32,11,10,0,9,4,3,7,3,24,7,0,74,44,5,10,64,3
"2065, NSW",2011,531,645,138,62,547,72,45,20,18,44,30,32,0,25,3,3,13,0,39,28,12,240,86,7,15,84,0
"2066, NSW",2011,797,1065,150,79,709,79,82,36,19,80,51,28,3,23,9,8,15,5,39,41,5,244,140,19,14,92,3
"2067, NSW",2011,492,554,93,62,588,54,101,29,21,89,32,29,0,27,9,9,13,3,83,53,10,183,106,12,27,223,7
"2068, NSW",2011,429,683,73,46,496,48,54,23,10,48,36,21,0,24,3,6,11,3,30,31,4,131,75,9,21,53,0
"2069, NSW",2011,352,594,54,35,415,45,42,19,14,54,36,14,0,29,5,0,13,4,39,28,0,90,50,7,11,48,0
"2070, NSW",2011,329,505,44,28,418,58,50,11,11,39,50,11,0,16,4,4,10,4,43,36,0,97,59,7,11,51,0
"2071, NSW",2011,308,450,43,46,370,42,47,13,19,55,18,13,0,23,7,3,13,4,42,46,0,102,56,7,12,84,4
"2072, NSW",2011,170,231,21,33,189,21,45,5,9,25,10,4,0,7,3,0,10,3,16,19,0,52,37,3,11,55,0
"2073, NSW",2011,514,760,63,63,457,69,55,18,10,49,27,13,3,17,6,0,20,6,39,42,0,123,56,8,11,66,0
"2074, NSW",2011,573,881,80,58,605,49,84,26,22,55,49,14,3,22,4,9,22,8,43,51,0,172,73,8,12,65,0
"2075, NSW",2011,528,857,52,66,540,56,74,13,15,54,58,9,7,29,9,5,16,3,44,27,3,125,74,18,17,55,0
