Postcode,Year,ftft,ftpt,ftaw,ftun,ftnotlf,ftunstated,ptpt,ptaw,ptun,ptnotlf,ptunstated,awaw,awun,awnotlf,awunstated,unun,unnotlf,ununstated,notlfnotlf,notlfunstated,unstatedunstated,ft,pt,aw,un,notlf,unstated
"6728, WA",2011,66,68,15,3,47,11,27,3,5,47,10,6,0,8,0,3,12,0,43,7,15,43,25,9,9,113,10
"6740, WA",2011,7,10,5,3,16,0,8,5,0,15,0,0,0,3,0,0,3,0,18,3,3,9,7,10,7,56,4
"6743, WA",2011,95,126,25,7,77,30,14,7,5,21,17,11,0,13,0,3,4,0,20,12,13,48,25,4,11,88,17
"6751, WA",2011,92,122,26,4,132,18,5,11,0,8,12,8,0,6,3,0,0,0,3,7,0,32,10,3,3,16,0
"6753, WA",2011,139,140,23,13,138,31,7,3,3,10,16,10,0,12,4,3,4,3,11,7,7,36,5,3,0,24,4
"6754, WA",2011,37,41,10,0,44,13,3,7,0,3,4,0,0,9,0,0,0,0,0,0,0,14,0,3,0,3,0
"6758, WA",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0
"6760, WA",2011,3,4,0,0,5,0,3,0,0,3,0,0,0,0,0,0,3,0,3,0,0,3,5,0,3,14,3
"6762, WA",2011,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,9,0,0,0,5,0,4,7,0
"6765, WA",2011,12,16,0,3,21,3,8,5,0,7,0,0,0,0,0,0,3,0,14,0,3,16,14,3,3,51,0
"6770, WA",2011,23,11,4,0,15,3,10,6,3,24,0,0,0,9,0,7,13,0,101,0,6,17,26,6,20,99,0
"6907, WA",2011,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7000, Tas",2011,216,366,43,19,149,28,81,17,9,36,30,9,0,9,3,0,4,0,26,10,0,151,93,9,23,69,3
"7004, Tas",2011,89,155,24,10,86,14,59,7,3,26,14,5,0,9,0,0,3,0,11,5,3,64,50,3,10,44,0
"7005, Tas",2011,204,344,41,11,131,29,40,18,6,30,26,12,0,8,4,4,9,0,53,16,0,86,50,12,4,36,3
"7007, Tas",2011,73,111,10,8,35,6,13,3,0,7,3,3,0,3,0,0,0,0,5,5,0,27,33,0,0,18,0
"7008, Tas",2011,243,407,51,23,113,30,74,23,3,49,23,17,0,9,3,0,10,0,25,5,3,156,110,7,15,86,6
"7009, Tas",2011,165,289,41,20,155,15,58,17,8,59,14,13,3,16,7,9,17,0,66,17,5,117,179,14,27,217,7
"7010, Tas",2011,196,364,38,22,205,13,50,19,16,52,7,13,0,22,5,3,28,0,81,6,4,163,188,27,30,288,21
"7011, Tas",2011,197,389,49,28,203,26,60,17,10,62,15,12,4,16,3,3,14,0,55,14,6,138,172,23,56,231,15
"7012, Tas",2011,18,25,7,0,15,0,3,0,0,15,3,0,0,0,0,0,3,0,5,0,0,10,5,0,3,8,0
"7015, Tas",2011,179,362,44,14,116,19,50,10,10,16,21,16,0,8,3,0,3,0,13,5,3,97,81,12,15,74,3
"7016, Tas",2011,23,36,3,0,39,0,11,0,0,8,3,0,0,5,0,4,6,0,17,0,4,27,32,0,11,56,4
"7017, Tas",2011,127,227,24,9,74,16,29,5,3,15,7,3,0,5,0,0,0,0,10,3,0,46,31,0,3,17,3
"7018, Tas",2011,294,679,61,20,244,33,96,31,10,52,31,18,0,17,4,5,13,0,69,21,0,211,186,28,35,189,15
"7019, Tas",2011,36,155,16,9,76,6,11,8,4,34,3,3,0,15,0,3,13,0,52,0,0,42,83,7,32,170,10
"7020, Tas",2011,58,122,7,3,29,10,23,6,3,15,3,14,0,5,0,0,0,0,6,0,0,18,16,0,0,9,0
"7021, Tas",2011,53,122,4,6,31,8,12,10,0,10,8,0,0,7,0,0,0,0,7,4,0,25,23,3,0,7,0
"7022, Tas",2011,16,25,6,0,15,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,12,0,3,10,0
"7023, Tas",2011,3,8,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"7024, Tas",2011,7,18,3,0,12,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,4,0,0,3,0
"7025, Tas",2011,34,86,12,3,30,7,8,3,0,3,5,6,0,0,0,0,0,0,6,4,0,11,15,0,0,7,0
"7026, Tas",2011,15,32,3,0,12,0,3,0,0,8,3,0,0,0,0,0,0,0,4,0,0,4,10,0,0,4,0
"7027, Tas",2011,3,8,0,0,3,3,3,0,0,3,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,11,0
"7030, Tas",2011,238,477,69,35,259,24,61,28,18,69,22,13,0,25,5,13,34,0,143,28,9,150,172,27,63,449,22
"7050, Tas",2011,188,428,51,23,186,19,65,16,16,45,19,16,3,12,5,4,8,0,34,11,0,147,115,11,17,138,6
"7052, Tas",2011,129,268,27,10,100,10,34,14,4,32,16,5,0,3,0,5,7,0,10,4,0,73,79,9,4,52,0
"7053, Tas",2011,76,149,9,6,54,18,36,7,4,22,10,3,0,3,0,0,0,0,4,3,0,32,38,0,0,9,0
"7054, Tas",2011,170,357,47,15,155,11,79,18,8,42,14,7,0,13,3,0,0,0,30,16,0,54,77,3,7,41,0
"7055, Tas",2011,7,14,4,0,15,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0
"7109, Tas",2011,116,249,30,15,143,18,60,17,10,48,11,6,3,15,0,3,15,3,44,8,0,55,63,3,19,86,4
"7112, Tas",2011,24,63,0,3,39,3,18,10,0,24,8,0,0,4,0,0,8,0,20,4,0,15,33,0,4,35,0
"7113, Tas",2011,16,31,4,5,9,0,11,0,4,5,0,0,0,0,0,0,3,0,7,3,0,3,11,0,0,9,0
"7116, Tas",2011,15,58,9,3,45,0,13,4,5,20,0,4,0,3,0,0,8,0,25,4,0,13,14,0,0,34,0
"7117, Tas",2011,9,10,0,0,3,3,4,0,0,4,0,0,0,0,0,0,3,0,3,0,0,0,8,0,3,4,0
"7120, Tas",2011,32,57,3,3,25,3,7,0,0,12,3,3,0,3,0,0,6,3,27,0,0,8,8,0,3,31,0
"7140, Tas",2011,163,266,30,19,202,10,35,29,17,47,12,10,6,21,3,8,37,3,86,14,0,58,93,18,27,136,7
"7150, Tas",2011,36,96,6,0,34,7,17,8,6,16,5,3,0,3,0,0,3,0,10,4,0,12,11,0,7,19,0
"7155, Tas",2011,13,23,8,0,13,0,7,4,3,11,10,0,0,3,0,0,0,0,4,0,0,12,3,0,3,11,0
"7162, Tas",2011,11,22,0,0,13,0,5,5,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0
"7163, Tas",2011,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"7170, Tas",2011,133,242,27,8,68,14,40,8,6,17,17,0,0,3,0,0,3,0,3,5,0,38,35,0,3,14,0
"7171, Tas",2011,50,89,11,3,48,4,18,3,3,12,8,3,0,3,0,0,3,0,13,0,0,37,42,9,3,34,0
"7172, Tas",2011,41,99,4,3,45,0,9,8,3,7,0,4,0,9,4,3,8,0,15,0,0,27,35,3,7,25,0
"7173, Tas",2011,88,181,27,15,86,6,33,13,5,41,13,7,0,15,0,0,10,6,24,5,3,65,69,4,13,77,0
"7176, Tas",2011,3,16,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,8,0
"7177, Tas",2011,3,10,0,4,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0
"7178, Tas",2011,3,7,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0
"7179, Tas",2011,4,3,0,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"7180, Tas",2011,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0
"7182, Tas",2011,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"7183, Tas",2011,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7184, Tas",2011,4,6,0,0,11,0,7,3,3,3,3,0,0,0,0,0,0,0,7,0,0,6,5,3,0,6,0
"7186, Tas",2011,4,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,3,0,0,4,0
"7190, Tas",2011,21,62,6,0,38,8,10,0,7,8,4,5,0,4,0,3,0,0,12,3,0,6,18,0,7,25,0
"7209, Tas",2011,6,14,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0
"7210, Tas",2011,10,27,0,3,14,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,13,0,0,15,0
"7211, Tas",2011,8,8,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0
"7212, Tas",2011,33,71,5,9,41,5,6,6,0,8,0,0,0,3,0,0,3,0,6,0,0,17,9,0,0,15,0
"7213, Tas",2011,0,9,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0
"7214, Tas",2011,0,10,0,0,20,0,3,0,0,3,0,0,0,0,0,0,6,0,10,3,0,0,4,0,4,12,0
"7215, Tas",2011,30,56,11,4,45,3,21,3,3,20,8,0,0,5,0,0,5,0,18,6,0,10,30,4,7,32,0
"7216, Tas",2011,38,52,7,5,26,6,21,0,0,14,10,4,0,0,0,0,12,0,15,0,0,17,22,3,11,38,0
"7248, Tas",2011,122,277,38,20,213,18,49,14,14,63,15,11,7,31,0,14,47,0,132,18,11,113,171,7,71,311,9
"7249, Tas",2011,169,355,51,11,174,12,42,23,9,43,14,25,3,13,4,5,17,0,29,18,0,134,137,5,20,117,4
"7250, Tas",2011,774,1610,184,69,711,80,185,73,35,175,70,28,4,48,14,14,49,11,140,61,11,453,491,57,102,512,15
"7252, Tas",2011,54,91,4,6,29,3,6,3,0,6,8,0,0,4,0,0,3,0,3,3,0,11,9,0,4,11,0
"7253, Tas",2011,61,86,10,6,91,4,20,8,3,27,4,0,0,3,0,4,20,0,45,9,4,21,46,9,21,132,0
"7254, Tas",2011,3,16,3,4,13,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0
"7255, Tas",2011,13,10,0,0,9,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"7256, Tas",2011,22,39,4,0,26,5,6,3,0,5,0,0,0,3,0,0,0,0,0,0,0,13,13,0,0,7,0
"7257, Tas",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"7258, Tas",2011,30,57,4,0,9,7,0,4,0,10,3,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0
"7259, Tas",2011,3,14,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,4,0
"7260, Tas",2011,35,83,9,4,72,5,12,3,3,15,5,0,0,4,0,4,8,3,19,3,0,18,22,0,4,22,0
"7261, Tas",2011,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0
"7262, Tas",2011,14,59,4,3,27,7,9,3,0,3,6,0,0,0,0,0,0,0,5,0,3,9,15,3,3,9,0
"7263, Tas",2011,7,19,0,0,14,0,0,0,0,3,0,0,0,0,0,0,3,0,5,0,0,4,5,0,3,9,0
"7264, Tas",2011,7,11,0,0,9,0,0,0,0,3,0,0,0,0,0,3,0,0,7,0,0,3,3,0,0,7,0
"7265, Tas",2011,0,3,0,0,11,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,12,0
"7267, Tas",2011,15,43,3,0,16,0,3,3,0,0,0,0,0,0,0,0,0,0,3,5,0,3,6,3,3,5,0
"7268, Tas",2011,18,40,3,0,9,3,10,0,0,6,0,0,0,0,0,0,0,0,8,0,0,3,6,0,4,9,0
"7270, Tas",2011,43,78,13,7,64,4,20,9,3,16,8,3,0,11,0,0,4,0,12,7,0,34,38,0,8,54,0
"7275, Tas",2011,35,94,7,3,51,7,12,3,0,19,9,7,0,3,0,0,4,3,12,9,0,17,16,3,5,28,0
"7276, Tas",2011,5,18,0,0,11,0,7,6,0,3,3,0,0,0,0,0,0,0,3,0,0,5,6,0,3,5,0
"7277, Tas",2011,104,242,22,16,112,9,26,12,7,17,10,9,0,9,0,3,8,0,8,12,3,32,33,4,9,26,0
"7290, Tas",2011,41,98,12,3,30,0,10,3,3,5,5,3,0,0,0,0,0,0,3,4,0,16,12,0,5,15,0
"7291, Tas",2011,16,35,0,0,6,0,5,4,0,3,0,0,0,3,0,0,0,0,3,0,0,3,6,0,0,4,0
"7292, Tas",2011,9,30,0,0,19,3,7,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0
"7300, Tas",2011,52,123,11,7,59,3,14,11,3,13,0,3,0,6,0,0,3,0,8,5,0,25,26,3,3,22,0
"7301, Tas",2011,68,120,10,8,77,11,17,6,8,20,5,0,0,3,0,3,4,0,13,3,0,21,26,3,9,53,0
"7302, Tas",2011,29,52,3,3,33,4,3,0,0,9,0,3,0,0,0,0,3,0,13,0,3,4,9,5,4,18,0
"7303, Tas",2011,26,77,12,4,48,7,16,3,5,6,7,3,0,0,0,3,3,0,9,6,3,14,16,0,4,17,0
"7304, Tas",2011,68,139,23,9,82,11,22,15,3,33,3,6,0,18,0,3,11,0,28,10,3,16,59,10,13,52,3
"7305, Tas",2011,13,32,4,0,14,3,4,0,3,3,0,0,0,0,0,0,0,0,17,3,0,9,5,0,8,17,0
"7306, Tas",2011,53,107,3,11,47,6,15,5,3,23,6,7,0,7,3,3,12,0,21,8,3,13,29,3,17,37,0
"7307, Tas",2011,134,272,35,19,138,23,37,20,10,31,14,6,5,8,10,3,8,0,28,16,0,48,74,6,23,100,0
"7310, Tas",2011,343,734,60,52,402,42,105,43,19,121,63,22,3,42,10,13,55,4,129,34,8,233,267,29,80,418,16
"7315, Tas",2011,202,387,42,26,203,23,53,28,12,54,29,8,0,22,4,9,15,3,46,14,0,114,123,16,35,166,12
"7316, Tas",2011,83,195,32,5,94,15,37,17,3,23,10,3,3,4,5,3,0,3,16,19,0,37,37,3,11,58,3
"7320, Tas",2011,194,410,54,31,282,26,41,20,21,49,35,8,7,21,3,15,46,0,81,36,4,157,150,18,81,285,10
"7321, Tas",2011,86,126,14,5,94,13,12,8,7,23,15,6,0,9,0,3,3,0,31,11,0,16,29,0,6,37,0
"7322, Tas",2011,46,94,12,8,75,8,9,3,4,15,6,3,0,15,0,0,4,0,19,7,0,44,38,0,20,46,0
"7325, Tas",2011,106,256,27,16,151,16,26,15,8,40,16,4,4,14,3,5,17,0,35,14,3,70,63,8,20,98,3
"7330, Tas",2011,129,245,20,10,116,25,31,14,7,31,8,7,0,20,0,3,10,0,19,16,0,40,42,10,13,63,4
"7331, Tas",2011,11,17,0,0,5,0,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0
"7467, Tas",2011,13,54,0,0,56,10,6,0,0,4,3,0,0,4,0,3,3,0,4,3,0,13,9,0,5,37,0
"7468, Tas",2011,6,11,3,3,17,0,4,3,0,4,0,0,0,6,0,0,0,0,0,0,0,3,8,0,0,3,0
"7469, Tas",2011,10,13,6,5,26,3,0,0,0,12,0,0,0,3,0,0,3,0,3,4,0,6,0,0,0,10,0
"7470, Tas",2011,4,22,0,3,26,0,3,0,0,4,4,0,0,5,0,0,3,0,3,4,0,3,8,0,0,12,0
Unclassified (Aust.),2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0800, NT",2011,52,39,8,3,30,5,3,0,0,3,3,0,0,3,4,0,3,0,3,6,0,28,10,3,0,3,0
"0810, NT",2011,863,588,136,49,439,96,107,46,19,65,64,35,5,41,14,6,15,5,62,47,21,388,151,44,32,188,20
"0812, NT",2011,607,429,101,27,287,75,55,24,4,36,28,33,6,41,9,8,15,4,63,24,11,290,109,25,21,182,24
"0820, NT",2011,443,335,77,27,269,74,31,16,0,22,24,15,3,30,9,0,4,0,26,26,7,175,62,12,10,72,4
"0822, NT",2011,308,198,40,48,323,35,165,27,42,170,14,38,9,38,4,91,107,0,562,33,36,194,134,37,90,518,23
"0828, NT",2011,18,22,3,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,3,8,0
"0829, NT",2011,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0830, NT",2011,654,381,118,36,274,102,38,28,13,28,47,32,4,45,9,6,19,8,36,47,10,267,106,32,50,227,18
"0832, NT",2011,384,256,100,22,200,43,19,24,0,11,19,22,0,22,8,0,0,0,18,25,0,180,42,18,10,48,3
"0835, NT",2011,155,128,22,8,62,24,15,14,0,10,5,11,0,6,5,0,0,0,8,11,0,50,22,3,0,19,0
"0836, NT",2011,273,154,36,11,89,52,21,18,3,18,25,16,3,6,4,0,3,0,6,20,7,91,32,4,7,44,0
"0837, NT",2011,19,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,3,0
"0838, NT",2011,10,16,3,0,11,9,3,0,0,0,3,0,0,3,0,0,0,0,3,4,0,3,3,0,0,8,0
"0840, NT",2011,3,4,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0
"0841, NT",2011,10,13,0,0,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,4,0
"0845, NT",2011,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,9,0
"0846, NT",2011,4,5,0,0,3,3,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0
"0847, NT",2011,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,0,3,0
"0850, NT",2011,214,111,29,10,87,30,23,12,0,15,20,8,0,10,4,4,17,3,30,21,13,91,38,9,19,100,14
"0852, NT",2011,117,67,11,16,72,12,46,10,22,92,11,15,0,14,7,38,19,0,179,5,24,45,41,15,31,140,6
"0853, NT",2011,26,23,12,3,14,8,3,3,0,4,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"0854, NT",2011,13,15,0,3,9,0,3,3,3,7,0,3,0,0,0,5,0,0,8,0,11,6,5,3,4,12,6
"0860, NT",2011,57,20,10,6,19,9,8,0,3,11,3,4,0,13,0,3,4,3,32,3,17,31,14,5,5,49,16
"0862, NT",2011,3,7,0,0,3,0,4,0,0,4,0,3,0,7,0,0,0,0,11,0,8,3,0,0,0,8,4
"0870, NT",2011,720,542,104,28,360,121,80,24,3,44,61,26,5,33,8,5,20,3,72,31,20,319,131,33,18,227,38
"0880, NT",2011,171,157,36,15,150,21,11,5,3,33,9,12,0,8,3,3,9,0,45,0,7,52,24,6,7,84,3
"0885, NT",2011,35,31,4,0,30,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0
"0886, NT",2011,32,24,9,0,25,8,0,0,3,3,0,4,0,4,0,0,0,0,0,0,0,17,0,3,0,3,0
"2600, ACT",2011,192,196,30,9,87,21,16,6,0,10,13,12,0,4,6,3,3,0,8,3,0,53,25,3,3,32,0
"2601, ACT",2011,9,8,7,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0
"2602, ACT",2011,632,772,175,34,343,93,134,40,14,80,58,38,3,32,7,3,16,3,39,21,6,312,160,21,24,172,3
"2603, ACT",2011,284,238,40,18,123,36,21,5,5,12,15,8,3,6,4,0,4,0,21,13,3,87,31,8,3,30,0
"2604, ACT",2011,204,166,46,7,92,17,27,10,5,8,8,3,3,0,8,4,5,0,13,5,3,119,41,3,10,70,3
"2605, ACT",2011,377,369,87,19,153,36,36,11,3,28,27,19,0,9,9,4,7,0,25,6,0,107,60,13,0,46,7
"2606, ACT",2011,175,208,36,20,119,23,24,12,0,22,8,10,3,10,0,0,4,0,13,8,0,94,32,9,7,39,0
"2607, ACT",2011,477,403,82,29,172,41,54,21,5,33,12,15,0,6,5,0,4,0,26,13,0,167,63,11,10,44,3
"2609, ACT",2011,6,11,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,3,0,0,5,0
"2611, ACT",2011,648,819,175,33,314,83,110,44,10,53,37,30,0,18,8,5,3,9,29,20,3,267,149,21,15,146,7
"2612, ACT",2011,245,162,43,17,103,35,17,8,0,18,16,15,0,9,8,4,3,4,23,18,0,88,37,6,9,65,4
"2614, ACT",2011,479,560,112,31,296,55,77,27,12,53,28,23,0,27,9,0,10,3,32,24,6,212,118,17,19,100,5
"2615, ACT",2011,1303,1437,330,90,747,97,158,64,11,109,43,66,5,40,15,5,22,6,118,28,10,566,322,38,40,358,10
"2617, ACT",2011,719,745,167,46,402,63,93,46,12,57,32,44,0,35,5,3,13,0,69,23,3,290,136,24,21,140,3
"2900, ACT",2011,28,25,4,4,20,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,19,19,3,3,15,0
"2902, ACT",2011,447,487,110,25,228,49,45,22,7,47,21,21,0,10,3,0,9,0,34,6,3,225,112,26,22,111,7
"2903, ACT",2011,304,314,61,21,140,35,38,14,3,27,15,8,0,14,4,0,3,0,10,7,3,153,57,9,7,88,0
"2904, ACT",2011,461,464,93,18,177,52,61,22,9,25,15,13,0,11,8,0,9,0,22,0,0,197,73,16,13,42,0
"2905, ACT",2011,1092,1019,215,52,464,75,95,53,7,87,31,56,4,32,10,7,19,4,45,15,3,538,239,36,35,233,11
"2906, ACT",2011,816,686,131,30,323,67,65,26,8,38,11,30,7,23,5,0,6,0,33,7,8,303,135,27,15,101,3
"2911, ACT",2011,15,16,7,0,14,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0
"2912, ACT",2011,292,236,48,22,141,26,19,5,0,17,5,14,3,13,11,0,3,0,12,14,4,96,20,3,6,27,0
"2913, ACT",2011,1009,881,209,80,529,93,86,47,12,62,49,39,6,37,18,7,13,0,49,27,3,351,145,15,17,134,9
"2914, ACT",2011,673,609,146,46,368,70,37,31,3,34,28,23,3,19,7,0,7,3,24,16,4,188,71,15,3,53,0
"6798, OT",2011,41,30,8,4,23,6,4,0,0,3,0,3,0,4,0,0,0,0,3,0,0,12,7,0,0,0,0
"6799, OT",2011,15,14,0,0,9,0,10,0,3,9,0,0,0,3,0,0,3,0,6,4,0,3,0,0,0,0,0
2540 crosses NSW/OT,2011,566,972,101,84,538,73,156,59,30,158,92,35,9,51,11,24,60,4,148,73,13,308,340,40,110,488,13
2618 crosses NSW/ACT,2011,49,69,9,0,9,4,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,7,3,0,3,0
2620 crosses NSW/ACT,2011,1050,1034,186,51,470,84,108,57,5,94,45,51,6,44,15,0,14,0,60,24,11,431,207,39,37,259,15
3585 crosses Vic./NSW,2011,185,317,26,16,177,32,31,13,3,35,15,3,0,19,3,3,14,0,20,16,3,90,79,3,15,142,6
3644 crosses Vic./NSW,2011,153,245,26,21,108,10,24,10,4,18,17,15,0,9,0,3,10,0,47,12,10,49,78,7,20,102,0
4383 crosses Qld/NSW,2011,7,10,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,6,0
4825 crosses Qld/NT,2011,577,473,70,43,436,73,23,14,6,37,25,30,0,33,6,7,25,3,69,34,17,224,81,11,32,219,6
0872 crosses NT/SA/WA,2011,110,71,13,7,115,12,80,16,20,174,11,25,3,42,7,49,63,0,353,8,86,68,93,25,39,353,52
"2000, NSW",2016,179,104,22,14,199,32,57,9,3,56,5,10,5,10,4,0,5,0,42,19,3,101,45,8,5,87,0
"2006, NSW",2016,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007, NSW",2016,48,52,6,12,46,3,14,0,0,19,0,0,3,0,0,0,0,0,14,0,0,31,22,0,7,31,0
"2008, NSW",2016,63,49,20,7,33,10,17,4,0,12,7,0,0,5,0,0,5,0,9,0,0,29,17,0,3,25,0
"2009, NSW",2016,172,153,43,26,167,22,23,9,5,22,11,7,3,5,3,0,0,0,28,11,0,70,55,11,12,55,3
"2010, NSW",2016,206,211,48,21,151,29,27,10,12,21,9,10,3,3,0,0,10,0,13,11,5,98,40,8,14,47,0
"2011, NSW",2016,89,107,43,18,68,18,17,10,3,18,8,6,5,8,0,0,4,0,12,7,0,62,39,7,15,55,3
"2015, NSW",2016,191,187,52,17,94,13,17,12,6,12,11,7,0,0,3,0,0,0,5,8,0,65,41,4,4,52,0
"2016, NSW",2016,113,159,30,18,76,18,17,6,3,20,9,5,0,5,0,4,0,0,18,0,0,56,30,5,9,37,0
"2017, NSW",2016,217,225,68,28,197,29,26,9,11,53,15,10,0,20,9,5,15,0,60,7,0,112,70,14,24,191,0
"2018, NSW",2016,391,414,67,45,288,41,60,18,15,92,15,14,3,8,3,9,15,0,58,20,7,135,71,5,20,98,0
"2019, NSW",2016,396,427,48,29,164,28,41,13,8,23,12,14,3,14,3,3,4,0,17,10,4,135,61,7,19,40,8
"2020, NSW",2016,387,316,74,39,207,31,40,9,10,41,11,10,0,11,9,5,9,0,32,12,0,95,60,10,12,55,3
"2021, NSW",2016,334,329,61,25,209,30,31,10,3,29,18,11,0,7,3,3,0,9,21,13,0,139,50,5,14,35,0
"2022, NSW",2016,263,324,57,23,181,36,38,14,7,25,21,10,0,9,0,5,5,0,9,9,0,100,53,5,10,42,0
"2023, NSW",2016,246,318,46,14,280,43,30,3,12,41,10,4,0,8,7,0,6,0,22,15,0,84,56,5,5,60,0
"2024, NSW",2016,283,368,62,24,211,33,35,13,4,20,18,6,5,5,7,0,4,3,10,19,3,97,69,3,4,27,0
"2025, NSW",2016,178,162,25,12,125,30,13,8,5,16,19,5,0,11,0,0,5,0,9,6,0,75,27,6,3,31,0
"2026, NSW",2016,619,892,124,78,407,66,93,20,22,76,64,26,6,20,9,3,8,3,24,19,6,199,153,10,25,86,4
"2027, NSW",2016,118,132,36,9,114,9,22,0,0,20,4,5,0,8,0,0,4,0,14,7,0,64,25,0,8,37,3
"2028, NSW",2016,64,92,20,13,71,16,7,0,6,3,8,0,0,0,0,0,0,0,13,8,0,34,31,0,6,22,0
"2029, NSW",2016,220,372,38,34,180,27,52,4,8,25,19,6,0,7,7,0,3,0,15,22,0,92,62,5,11,38,0
"2030, NSW",2016,381,552,47,44,382,46,62,7,16,62,31,15,3,11,7,0,9,0,60,35,0,97,72,6,13,73,4
"2031, NSW",2016,870,1071,166,77,538,86,97,23,22,76,44,24,4,20,8,3,15,7,41,29,3,341,163,23,21,98,0
"2032, NSW",2016,288,382,34,39,176,37,37,8,7,42,14,0,0,15,3,12,11,4,47,9,0,86,65,5,17,88,4
"2033, NSW",2016,211,248,39,27,141,17,36,3,3,23,5,3,0,0,5,3,5,0,25,13,3,87,45,13,9,31,4
"2034, NSW",2016,507,610,102,41,278,56,69,10,12,38,39,17,0,9,9,0,9,0,25,14,0,159,90,15,25,102,0
"2035, NSW",2016,894,1061,137,83,503,87,136,20,18,88,51,33,0,17,5,7,17,9,116,34,9,301,174,18,22,209,7
"2036, NSW",2016,787,858,116,86,458,66,103,36,20,103,32,38,8,29,9,8,19,0,76,25,6,286,181,17,41,195,5
